3,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,
"[obj_rock,Instances]","[obj_rock,Instances]",#,#,#,#,#,"[obj_crate,Instances]",#,#,#,"[obj_crate,Instances]",#,#,#,#,#,"[obj_rock,Instances]","[obj_rock,Instances]"
"[obj_rock,Instances]","[obj_rock,Instances]",#,"[obj_bat,Instances]",#,#,#,#,#,#,#,#,#,#,#,"[obj_bat,Instances]",#,"[obj_rock,Instances]","[obj_rock,Instances]"
"[obj_crate,Instances]",#,#,#,#,#,#,#,"[obj_rock,Instances]",#,"[obj_rock,Instances]",#,#,#,#,#,#,#,"[obj_crate,Instances]"
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,"[obj_fl_spikes,BH]","[obj_fl_spikes_alt,BH]",#,#,"[obj_slm_cr,Instances]","[obj_rock,Instances]",#,"[obj_arrow_trap_u,Instances]",#,"[obj_rock,Instances]","[obj_slm_cr,Instances]",#,#,"[obj_spike_trap,Instances]","[obj_spike_trap,Instances]",#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
"[obj_crate,Instances]",#,#,#,#,#,#,#,"[obj_rock,Instances]",#,"[obj_rock,Instances]",#,#,#,#,#,#,#,"[obj_crate,Instances]"
"[obj_rock,Instances]","[obj_rock,Instances]",#,#,"[obj_pit,BH]","[obj_pit,BH]",#,#,#,#,#,#,#,"[obj_pit,BH]","[obj_pit,BH]",#,#,"[obj_rock,Instances]","[obj_rock,Instances]"
"[obj_rock,Instances]","[obj_rock,Instances]",#,#,"[obj_pit,BH]","[obj_pit,BH]",#,#,#,"[obj_mimic,Instances]",#,#,#,"[obj_pit,BH]","[obj_pit,BH]",#,#,"[obj_rock,Instances]","[obj_rock,Instances]"
1,,,,,,,,,,,,,,,,,,
